# phi1     PHI     phi2
0.239474 1.935417 1.359132
0.636897 1.661589 2.181353
3.916732 0.556678 2.058978
5.199262 1.267380 3.826361
5.566971 0.884330 4.472106
2.250598 1.344187 4.646471
3.500049 2.951120 5.740578
1.594254 1.861296 4.541722
2.348616 1.959825 2.383642
5.453754 2.468035 3.361465
0.915893 2.072674 5.355245
1.314949 2.289415 5.739603
3.510230 0.852856 0.430893
0.591888 2.382705 1.055652
3.861110 1.142116 2.417899
3.343813 0.676498 5.257421
4.079349 0.831709 1.830194
0.204111 1.491506 6.165017
5.894552 1.652946 3.570134
0.557592 1.465506 2.716492
0.853202 2.385054 1.723128
2.693543 1.614215 3.370319
5.283871 1.204436 2.402341
2.298285 1.953096 4.428545
0.081643 2.797851 4.687610
3.947168 2.060571 1.658544
0.985231 1.602393 3.030477
4.186430 1.224984 1.399697
1.899755 1.506774 3.516394
1.319447 2.369434 3.579398
1.287145 1.083853 2.216546
4.652567 1.501337 0.927575
5.838753 1.371113 1.919253
4.045539 1.136984 3.674749
5.709736 0.573688 3.435303
2.861728 2.232335 5.422652
2.827289 1.137835 4.368187
4.149590 1.200176 3.045022
0.799977 1.084810 1.294305
4.336401 2.502868 5.934849
1.095359 1.952938 2.021194
4.495632 1.360366 0.158446
4.744382 2.534632 0.744500
5.139897 2.051691 2.843395
3.924858 1.437723 2.019505
5.669287 2.509547 2.590341
4.014550 1.148413 1.403343
6.274494 1.589475 0.482020
1.115770 1.294176 5.295062
5.281094 2.077675 4.631529
3.545022 1.477679 6.110114
4.099989 1.785867 5.891369
1.839475 1.219887 1.529916
5.993151 1.054640 4.189590
3.620657 0.449501 5.787653
3.108737 2.357114 2.342673
5.724198 2.205362 0.585398
3.358415 0.517362 1.890914
0.824384 0.470550 0.782635
1.602817 3.104518 5.728058
5.615362 1.200878 2.085632
3.409321 2.642326 5.901295
6.259392 1.239386 0.296979
3.553608 1.133044 3.415996
4.715112 2.851552 0.713641
4.424240 1.280159 4.138644
4.727211 2.057390 4.526991
0.208385 2.349556 1.220752
3.675705 1.105823 1.839064
2.637860 1.451471 1.756172
1.591127 1.205998 5.681168
5.472420 2.451262 4.968204
5.643921 2.202552 3.557729
5.189077 2.562575 5.595767
5.113842 2.742458 2.185304
0.965845 2.562928 2.194452
4.732309 1.509375 4.673970
5.542665 2.284542 1.825519
3.177843 0.700499 5.759070
2.319483 0.188569 2.076880
0.875454 1.908152 4.149202
3.226925 1.640050 3.543641
4.031488 2.841802 1.535588
4.110665 1.672909 3.573579
4.934808 1.228388 0.477441
0.804514 0.847055 2.110926
0.012940 2.125602 3.991465
1.625058 2.598812 4.861092
2.761136 1.055060 2.082339
3.941108 2.518223 1.913774
4.586609 0.789240 4.523695
3.613089 1.438731 5.348507
4.783153 0.796056 0.941053
2.231534 1.020129 5.062333
0.675483 0.194094 1.403961
3.977164 1.282898 5.908033
6.104843 1.639302 5.326067
1.463405 2.335866 1.918822
0.212453 0.952827 2.141906
1.784398 0.847968 0.582897
0.830051 0.830224 3.168982
2.688258 2.300897 0.047630
3.662801 0.930962 5.305512
0.250161 1.359301 3.630777
2.659233 0.936198 5.853793
2.849084 1.199551 3.002716
2.544836 1.299579 2.622680
1.563035 2.131463 6.258577
5.352286 1.104541 1.594270
0.287079 1.387482 0.602569
2.565152 0.718700 6.258478
2.632957 2.145381 2.236045
5.852317 1.320516 4.940618
5.778162 1.530387 1.033924
2.566095 2.458494 4.215988
0.654224 0.912023 5.444130
1.324967 0.811422 4.523890
2.166457 1.736448 5.183691
2.364354 1.532814 2.297253
2.798511 0.510692 4.545193
5.022093 1.209030 5.995383
3.749899 1.110989 5.347217
0.050630 0.945969 4.618044
3.519868 2.281951 4.630661
4.813372 2.287233 4.760603
2.451101 1.550888 0.357071
4.153386 2.026367 5.552591
3.676807 2.386915 2.047339
3.204177 2.335654 1.960977
4.840597 1.127447 6.064849
0.046456 1.650929 3.084646
1.857470 0.866176 0.514845
0.581309 1.986920 0.860837
5.333150 1.350351 3.853720
0.293880 2.349391 2.441155
3.339955 0.738986 2.611505
0.630043 0.637047 3.147367
1.964097 0.762336 2.013115
2.931567 2.312702 3.253946
5.786965 1.022112 2.957755
1.292902 1.007701 3.301611
5.946332 0.796343 2.734647
3.239036 1.307875 4.945004
2.394337 1.592742 1.655991
1.088337 2.768505 5.090557
5.951533 0.942726 1.277470
5.355322 2.200435 1.141101
2.675872 0.533480 3.524035
2.698893 2.196031 1.159779
2.906204 1.668440 3.963658
3.817601 2.510660 0.194778
0.850211 0.929844 5.676304
0.917625 1.612077 5.539349
4.029998 0.689823 0.310823
0.132829 2.534361 1.909934
0.872679 1.950302 5.575161
1.944036 1.774851 2.538923
0.350722 2.337658 4.802735
5.103044 1.115248 5.278164
2.251321 2.225108 2.154453
1.669807 2.022022 1.815772
3.790335 1.752827 2.950974
2.674110 2.664209 4.546511
4.193498 0.879890 0.885886
5.368505 1.200014 0.926058
4.285993 1.942333 0.597321
0.732820 2.805997 0.237234
5.793301 2.004690 2.646719
6.016111 1.850336 3.602267
2.202910 0.888623 5.066101
1.113379 0.667415 3.432923
1.098863 1.989233 0.588675
3.991070 2.490522 1.659240
2.607553 2.783201 2.293870
3.452128 2.302522 2.317398
3.906675 2.117613 0.106137
2.225682 0.886579 0.461726
0.478470 1.948394 4.183942
4.136465 1.987318 1.366878
4.854977 1.201360 3.460843
4.881215 1.875604 4.127212
5.445048 1.767102 4.359849
1.108829 0.829397 0.405530
0.768039 1.517632 3.814570
4.857159 0.216822 2.212725
6.144258 0.588203 3.978928
2.287339 1.826626 5.504117
3.289504 1.499885 0.965138
0.153659 0.928558 5.442087
1.275188 2.550537 3.124665
2.503448 2.011060 3.319546
4.664902 2.625401 0.955350
0.174136 2.039003 2.767968
5.372197 1.919397 5.613077
2.315851 1.767308 0.656388
0.784909 2.007457 4.761117
2.009496 1.419927 5.709657
2.747025 1.567579 3.992734
4.489543 1.317518 3.577222
4.706735 1.252878 2.249021
2.700991 2.177160 1.644998
5.846186 0.167203 3.176292
2.942187 0.993202 2.216021
4.142203 0.980659 4.304897
5.734668 1.183405 1.309518
4.758892 2.169001 3.270751
3.116798 0.677827 1.622135
5.424197 2.368559 0.804167
5.090728 0.992874 0.092198
4.648213 1.093736 3.923229
3.664507 2.673673 2.654582
4.458173 2.591260 3.551416
2.545381 2.371138 3.583415
2.799503 2.597823 1.046912
3.426504 1.202516 3.402085
0.527938 0.931252 3.052292
6.173996 1.576486 5.597913
3.071595 0.373355 1.791067
2.026268 1.825939 6.115234
1.607707 0.318935 4.409635
2.339643 1.893066 0.642963
3.262199 0.833013 1.381459
1.950387 1.967850 4.260928
5.764888 0.836198 3.254665
1.862584 1.701947 3.982204
4.818173 2.544878 1.923619
3.673147 2.213907 2.342860
4.289548 1.704870 4.658266
2.633728 2.411736 2.167355
1.103025 1.226733 1.342782
5.941726 1.548821 1.021127
5.843086 2.628902 5.666062
4.603126 2.168113 1.766685
2.301758 0.602071 3.188848
3.961122 0.883913 3.867457
4.624885 0.454302 3.534883
3.268102 0.821932 5.321935
4.709644 1.942426 3.787140
4.694777 2.384095 3.158241
2.951652 1.044680 1.536593
3.605341 1.005907 1.377070
4.319408 1.009791 0.403209
4.264240 2.034425 2.093282
4.408221 0.686062 2.484043
3.806585 2.161274 2.810199
2.033373 0.839158 6.023902
1.048250 1.492169 3.852241
2.967443 2.166755 4.490222
0.284487 1.341695 1.632808
0.129911 2.213243 1.374543
4.111116 0.995277 3.882769
3.652819 0.581361 1.939585
3.196157 2.104589 3.445218
1.318014 2.393762 2.537406
0.435846 1.806460 5.426921
4.325148 0.658147 0.708193
5.875788 0.951770 0.651353
4.474663 0.945395 3.277207
1.417565 1.918461 5.019869
2.972457 1.291435 4.973104
4.751658 2.672995 4.897675
4.197854 2.325560 3.012677
3.197150 1.364686 1.002002
4.200926 2.299422 4.999996
0.168566 2.558714 3.584192
2.044512 1.140827 5.604764
2.342667 1.291978 2.865738
1.354649 1.747949 4.804020
2.541358 1.744328 4.774465
4.764452 0.825078 1.308322
2.425325 1.032877 0.763053
0.526659 1.698749 0.689327
1.662327 1.201495 6.088168
4.017884 0.802006 3.071011
5.152908 1.844973 1.542192
3.327389 2.331714 0.833880
2.869493 0.558574 4.161857
1.891284 0.836954 2.919030
6.163446 0.488624 1.301261
4.194875 1.461704 0.456629
3.146072 1.400858 6.006150
0.023785 2.470514 5.316452
3.654561 0.968424 1.137879
5.747052 0.517087 3.671988
4.741089 2.085145 4.379859
1.562842 0.799579 2.393879
3.515850 1.902569 2.496810
4.569735 2.141545 2.078543
2.820258 0.730647 2.457461
5.098992 0.887993 4.522760
0.308955 1.731877 5.649561
0.199959 1.923391 2.770135
5.212463 1.186921 2.832216
2.317245 0.683609 4.296314
4.709857 2.875651 0.613038
1.408020 2.295696 3.709419
2.908843 0.889345 4.523134
4.864803 1.549347 3.940437
3.103092 0.812918 0.298910
5.772321 0.988286 2.657620
6.133084 1.732096 2.770186
1.153361 0.541374 0.989972
3.686843 2.883083 0.706856
5.992646 0.711523 4.526005
6.104914 1.652840 2.348094
4.891906 2.395496 3.638184
5.834896 1.501103 3.175866
4.885984 0.533952 6.012466
1.463450 1.601761 2.725504
2.802318 1.616963 5.956771
4.656754 0.241582 4.856246
2.049400 1.452563 3.554666
1.029255 1.949422 2.969167
4.230858 2.050815 2.354063
5.028138 0.442794 3.276037
1.501224 0.834899 0.825841
0.440906 2.003426 3.036953
2.166819 1.079965 1.105715
2.396318 0.640793 0.455921
0.484060 1.609447 4.041777
1.628067 0.588471 2.234893
1.678974 1.604449 3.720011
6.010751 2.577609 1.354143
6.222000 0.462033 1.923707
0.318557 2.115466 2.847071
5.864779 1.277026 1.495346
4.734355 0.533498 2.547873
3.077854 2.739139 1.216409
1.529067 1.668275 3.184313
4.136313 1.796518 1.934944
0.425641 3.000024 3.326386
3.126293 0.560600 2.391463
1.907137 1.329677 0.648546
2.126167 2.439370 1.237862
1.268515 3.001705 4.894840
5.641360 2.271813 1.610000
0.621890 1.034448 3.687379
2.587684 1.996610 2.450468
3.901711 0.297125 1.339413
5.107769 2.943278 4.805239
1.628433 0.972282 4.196218
4.911046 1.747162 1.457108
5.445826 1.828901 0.659638
4.622409 2.898154 3.379166
2.564194 0.960154 5.872582
4.439646 1.065662 1.970777
4.879744 1.252886 1.004920
6.027704 1.748672 0.160978
4.248196 0.108998 2.727641
2.194650 2.806383 6.120737
1.278041 1.146753 5.719968
0.267170 1.749092 4.442141
3.626646 0.847574 4.800077
2.550972 1.832334 0.574927
4.882803 2.763683 2.741719
5.339279 2.516085 0.395219
2.523589 1.473211 6.219975
0.770939 1.755959 3.799829
3.048060 2.305589 0.062098
6.228520 1.633358 2.024086
0.251351 2.026558 5.058181
1.709538 1.684828 5.098708
1.931536 1.604119 1.844898
1.568057 2.963193 1.765960
6.157157 0.877913 2.419193
0.989888 2.397675 3.233391
0.960690 1.744841 6.092134
0.188972 2.015113 2.402363
3.024943 1.720776 2.374432
4.984576 2.252074 2.678227
4.626390 0.456898 1.370703
5.481235 1.794639 2.124123
4.427590 2.590377 0.183190
4.461145 0.827633 5.314774
0.097900 1.518589 2.384912
5.145939 1.295896 1.256378
3.144867 0.802416 2.952500
3.624981 1.397399 3.261723
4.987770 1.209737 0.092000
5.189930 1.409632 2.945997
2.644357 1.212599 2.832668
6.154290 2.255131 3.752702
4.669291 0.766273 3.887754
5.834937 2.165645 3.922313
2.933187 0.951929 4.638101
4.407332 2.751330 3.038262
4.333722 2.054153 0.824500
2.584652 1.501239 0.167132
3.626118 1.618627 1.994859
1.402644 2.443729 6.073509
2.956744 2.232836 2.726275
0.667270 2.645186 0.480004
5.323561 0.051879 4.848370
3.134785 1.231287 5.909269
3.874425 1.843497 5.613274
5.221742 0.849763 2.260073
0.493186 1.622883 1.041095
4.167521 2.245931 3.573716
1.763777 0.614475 5.419760
5.888766 0.511692 2.092774
1.063085 2.499838 5.571051
5.116653 2.203507 4.077933
5.921014 2.736808 2.947145
2.124147 0.819627 2.625791
1.628381 2.067745 6.067557
5.985906 1.008410 1.677565
4.618988 0.827358 6.258946
5.983196 2.089603 1.404702
5.848942 0.660046 4.327050
3.104205 0.704305 0.777998
6.036821 2.467967 2.223275
3.796530 0.618294 0.114063
5.386664 1.909407 0.356390
0.791980 1.635661 1.919026
3.832865 2.220666 1.247850
6.155478 2.616310 4.980269
5.951816 1.337478 1.219640
5.188474 1.890038 1.385946
5.259010 0.992233 1.911794
0.195944 1.739514 6.041050
2.187092 0.854052 0.807080
5.409550 2.098584 3.425284
5.072605 0.506322 3.016007
3.318023 0.834997 3.323972
1.773290 2.719036 0.667812
2.570525 1.429962 5.537952
1.410743 2.030823 0.413762
0.558157 0.827554 2.950922
1.878067 1.105193 4.861151
5.904175 2.680411 5.899290
1.147963 1.145611 0.849344
0.769799 0.935161 0.611746
3.772155 1.150968 4.986274
4.567962 1.404852 5.381636
6.181712 1.606217 1.787746
6.160041 1.460201 2.198138
1.180035 1.027692 0.281851
2.802045 1.385494 2.087897
2.093125 2.342130 5.683843
4.474859 2.519556 3.973565
2.182740 1.957436 3.602492
1.319012 2.265211 2.217556
0.919818 0.958072 2.285668
4.118451 1.983495 0.875970
3.406073 2.824896 3.483204
1.011312 0.895230 5.800727
0.011155 1.808970 5.306544
1.828643 1.711334 2.142920
0.035697 2.801519 3.472535
1.475623 1.167042 3.345867
4.719299 2.126937 0.683546
2.204649 1.861359 2.326847
5.036049 1.662429 2.605684
0.340037 1.611909 2.661807
3.057650 0.837587 4.389673
0.005624 1.831709 4.461567
5.262840 2.141519 4.049003
2.779780 1.284015 1.986000
1.344411 1.696592 0.216602
5.199059 0.962352 0.633366
4.257901 2.403614 0.628293
3.814071 1.177081 2.890878
1.069484 0.742068 5.304689
3.274368 1.173895 1.301587
1.715882 2.098233 2.412052
1.905608 1.077664 0.816785
1.962928 1.662879 5.238929
3.205165 0.939667 3.077479
6.029803 1.761810 5.708604
5.446331 2.192751 0.619996
4.251982 0.751112 1.507228
0.658455 1.402163 3.071298
6.018919 0.617184 0.904233
2.401597 2.605464 1.691828
5.026390 0.878522 3.402295
1.993578 2.666858 1.495131
2.261104 0.278834 5.708481
0.882159 2.632049 1.420995
5.998487 1.073010 1.882314
5.222713 0.818976 0.595699
6.041561 0.819376 0.306240
6.169037 1.484780 4.342555
5.636992 1.644928 2.994865
5.388945 1.594828 3.562764
4.946757 1.218481 5.102791
0.632957 0.958573 0.487201
2.138102 1.851034 0.600683
4.693379 1.569380 5.191201
4.411487 2.789446 0.453424
5.170604 2.365266 3.910692
2.540803 1.259624 0.652270
0.173893 1.959331 2.141096
1.956001 1.522288 5.305461
4.361257 1.924689 3.109422
4.557939 2.580775 3.085425
4.367221 1.844691 1.539062
5.543340 1.306101 1.276474
1.143304 1.833545 0.494805
1.123772 2.612533 5.039032
0.497701 1.341117 3.059783
5.080561 1.116988 0.303477
2.347903 2.051116 6.101747
2.136965 1.408658 3.459292
3.941894 1.810658 6.228833
3.956706 0.407446 6.251758
3.659294 0.929898 0.574988
3.426173 2.166239 2.973936
6.018386 1.505585 4.218379
1.501275 1.855616 4.368029
2.537184 1.436769 3.449751
4.259278 1.029947 6.114840
1.553192 1.378929 1.651940
5.359692 2.079789 3.991721
2.285792 1.341087 0.930149
5.561745 2.078383 3.440633
0.104616 0.744358 3.064538
4.584651 0.905575 0.976206
0.655923 1.056788 5.417638
1.404027 1.544470 0.313450
2.086157 2.107193 5.495551
5.006856 1.742367 4.711223
5.154024 0.283366 5.090355
0.725270 2.067075 0.731955
4.497862 1.265857 5.879148
1.856928 1.825890 0.060840
0.496962 2.280543 1.514451
4.424343 2.566124 2.429447
5.358553 1.653246 6.132282
1.451671 2.360531 5.965522
4.209402 2.461406 6.013934
5.580112 0.774086 3.138771
4.685853 1.197994 6.021898
2.720346 2.132033 0.784861
2.805945 1.392364 4.937172
1.446537 3.088328 2.804707
3.582915 1.453828 1.331144
4.169040 1.357942 5.012179
1.735170 2.563298 1.346539
3.115078 2.093220 2.190939
4.787225 2.945046 4.153212
0.019290 2.552337 4.486947
5.587225 1.118328 3.397071
2.881214 0.401659 2.152516
0.783648 1.738416 3.560350
2.869463 0.961900 2.550085
4.159769 2.354591 0.242488
5.667922 1.693171 1.619905
4.630275 0.811998 1.255266
0.588032 1.570047 6.061852
3.421721 0.597263 1.417930
1.442436 1.224891 0.070019
4.043395 2.198462 5.012691
5.985171 2.156734 2.839850
2.291674 0.313702 3.056999
6.198513 1.673666 3.120583
3.869974 2.014688 1.484788
0.466156 1.835755 3.564110
2.123847 0.873928 1.395472
4.148883 0.798948 5.638527
3.758125 2.203661 4.915086
5.796230 1.407968 2.432438
5.335021 2.421980 1.760729
0.531656 2.373903 0.022176
3.527079 1.304846 5.301896
1.291197 0.951196 4.277699
3.726239 2.028584 0.725014
1.010231 1.136881 5.246843
3.811315 1.916247 3.675027
4.996982 0.661667 6.176631
4.140277 1.886801 3.938998
0.244132 0.242611 1.544903
3.777899 2.197112 3.595414
1.707643 1.797750 5.429345
0.960436 2.116695 2.565567
2.084116 2.365332 2.865663
0.109479 0.613740 2.477901
4.008324 0.255928 4.178513
4.800278 2.111720 3.321923
6.082715 1.697382 0.750349
2.155691 0.727652 4.859072
4.154346 0.523959 1.330933
1.391074 0.836774 5.177854
5.575978 1.919130 6.246961
3.410705 1.280514 2.447654
0.768768 0.766478 0.046437
4.948422 0.678749 2.154509
4.724658 1.909359 1.469091
3.873313 0.733156 4.202101
6.222838 2.537932 4.418766
0.278536 1.993760 3.986706
5.929404 2.378952 2.723242
0.436178 2.453715 2.641663
0.499246 2.497638 4.189973
4.636476 1.787367 0.954852
1.009583 1.596848 0.354906
4.145380 0.598632 2.416674
3.641668 2.892000 6.141257
3.156322 2.670494 5.201740
4.900797 0.976485 3.054660
1.582339 0.709797 4.165797
3.086264 2.522572 4.654292
4.952911 1.158905 2.982602
5.960935 0.853171 5.826951
1.269706 2.290376 2.492210
1.818073 2.874441 3.547580
4.281373 1.595746 2.162944
4.753419 2.197770 5.762826
1.774166 2.427533 5.567424
2.142624 0.582225 4.079783
5.367487 1.632982 6.167704
4.023536 2.687644 1.069104
1.342050 0.498097 4.895557
1.656081 1.374335 0.234734
3.696999 0.751411 0.016199
3.627475 1.361150 1.212907
2.414874 2.364231 3.166277
4.760704 2.186154 2.348671
1.847261 2.798157 4.841260
1.137619 0.902614 0.760617
3.058034 2.306706 2.346154
3.726615 2.715708 3.489506
3.907556 1.463900 0.790971
2.010896 1.157869 2.945498
4.747876 2.554944 2.997219
3.010461 2.725360 0.067787
1.658278 1.869714 3.886549
5.287870 1.565232 0.353027
1.287391 1.872837 0.837627
0.832386 0.628014 2.852158
0.466376 2.172206 2.527308
3.111131 0.990547 1.017191
5.826314 1.185436 0.041516
1.575479 1.625701 4.576424
2.355087 1.389283 2.215654
2.467058 1.576921 2.724229
2.365243 2.775288 6.279093
4.917650 1.820126 0.839312
1.029017 1.100700 0.889530
1.667240 1.958257 0.037291
5.834533 0.531265 1.984677
4.955188 2.321272 4.826531
0.485790 0.826036 3.195001
1.398946 0.931267 2.660829
0.431074 2.073171 1.487031
1.339792 1.243096 1.573416
3.796998 1.919359 1.630486
4.430174 1.589206 5.327598
4.617551 0.372350 5.221598
1.889197 1.322389 1.526070
4.914379 2.454003 3.851351
1.828541 0.996754 5.398660
0.924632 1.617875 2.358350
2.472173 1.878248 6.261345
2.255601 2.306082 2.452046
4.806238 1.914019 0.479982
1.458846 1.975468 1.844283
1.345176 0.380084 4.296023
3.957983 2.514320 4.508521
1.753590 0.416144 4.457093
3.637387 0.434512 0.840310
6.013442 2.306495 4.634127
4.400529 1.300714 3.980935
4.008000 2.326897 0.308916
3.743806 0.361857 3.949187
3.394237 0.258671 4.595556
1.432792 1.082559 3.945771
5.139173 2.405604 0.898788
3.381196 2.664670 0.060476
4.409457 1.308775 2.739339
3.067670 1.574405 3.630892
0.660536 2.283334 5.305612
3.995284 0.824508 2.792529
0.687374 2.487381 2.821510
2.362560 0.880855 4.750690
1.953209 2.134932 3.547001
3.697833 1.313906 2.456588
4.970727 2.352709 3.761945
2.543436 0.518115 6.092769
0.209513 2.309280 5.405684
0.488330 1.332027 1.087368
1.693306 2.071739 5.625927
0.683729 2.685160 3.275336
5.192322 1.999613 4.702556
2.776894 2.934296 1.962360
5.707578 0.755097 0.814017
0.087064 2.213196 5.582706
3.813608 1.083104 0.926186
2.455655 0.827489 0.475612
1.560740 0.980228 5.160066
3.665112 1.672944 5.879044
3.509094 1.016034 3.846029
3.009730 1.977184 5.339884
6.207500 1.135028 2.685461
2.202003 0.735185 1.828018
5.867429 1.058494 1.559199
3.655695 2.770804 2.466312
4.290658 2.041118 4.273632
2.955947 1.223679 0.016791
3.124378 1.217996 4.842142
0.664639 0.767737 5.000647
0.854746 1.938414 4.610721
6.193268 2.545766 5.993664
0.320351 1.750108 2.902452
2.141262 1.619227 2.917922
0.100667 1.533768 1.868979
1.443850 1.827841 5.097722
5.545168 0.308726 1.364514
1.577328 2.476721 0.178955
4.484039 2.617872 2.804132
1.525055 1.631235 4.404992
3.199435 2.398325 3.401994
0.987903 0.738857 0.643684
0.860175 0.414788 3.277292
2.110450 0.923825 4.369486
5.423934 1.994167 2.450099
1.296852 1.933684 0.010931
3.248531 2.277000 2.389634
1.689392 1.522194 2.294844
3.788389 2.325935 2.492654
2.726165 0.774268 0.148190
0.627668 1.235926 5.378469
2.631584 1.273509 3.171281
0.912901 1.726889 4.293236
1.550972 2.757283 3.084724
5.772925 1.310497 4.789722
2.287240 2.055340 4.151379
