# phi1     PHI     phi2
0.610734 1.057507 0.482267
6.215317 1.994354 3.512685
0.231756 1.617824 6.138459
4.637792 1.573957 4.558156
5.754821 2.743633 1.065845
4.822110 1.909510 5.838738
5.709591 3.065573 2.039536
3.023890 0.369755 5.596985
0.699896 0.806832 0.237941
1.350420 1.112061 5.794702
1.748566 1.472312 5.909798
5.484233 0.928079 2.847920
5.185101 1.073232 0.517284
6.041758 1.479828 3.343256
4.645752 0.916560 2.011024
4.679625 1.457198 5.367521
0.832052 1.426010 5.518573
0.886901 1.559767 2.908311
1.599053 2.486689 5.243726
0.504899 1.073265 2.738166
2.892889 2.264165 1.433504
0.071753 2.230298 1.358760
2.004902 1.381204 0.442911
0.235063 2.321450 4.053902
3.790830 1.042381 4.920327
3.329633 2.331373 2.762339
1.193613 1.802762 4.310116
0.705590 0.394424 5.540504
5.373092 1.352942 1.909002
2.285612 1.285343 3.537606
0.153891 2.078320 0.456243
4.622122 1.382078 4.503768
3.228279 1.519043 2.614953
5.188436 1.498752 4.024796
2.998495 1.484501 4.200229
1.070091 0.510373 5.800297
4.256514 2.552044 1.122692
1.528400 1.255633 2.379595
0.705905 2.209325 3.036345
4.229385 1.400585 0.898821
1.402580 1.361291 4.338566
3.740366 2.071323 4.760931
5.505586 1.935599 5.207184
0.050569 0.821159 1.706815
5.590789 0.917800 0.017501
1.034995 1.691101 5.801920
5.541550 1.219206 4.866171
4.046154 0.915812 4.289962
0.696189 1.170865 1.707390
0.786204 2.322057 5.712132
1.226938 2.438609 5.953486
0.481369 1.459629 0.526244
1.767685 0.937433 1.426895
5.899926 2.633056 2.814610
3.216568 2.433415 5.805091
0.066344 1.661758 3.523631
5.434642 2.603791 1.496871
0.036573 1.518587 5.297883
1.363400 1.717986 5.190043
2.210669 2.189036 5.082611
5.311765 1.328748 4.789297
3.479660 1.524418 3.940238
5.478111 2.198282 3.909020
4.124792 2.861538 1.587081
5.553088 1.078315 2.362948
3.888338 1.813444 1.043928
3.253374 1.130083 4.823096
1.642865 1.858197 2.828693
1.227402 1.811848 1.591315
2.984022 2.275020 1.456017
3.006480 0.884500 3.683281
2.258694 0.818313 4.047004
4.472259 0.777542 3.463306
3.228982 2.301609 5.836038
2.241055 0.877093 2.783045
1.668958 0.770342 5.033344
2.927946 2.056080 4.211420
0.074642 0.827469 6.243666
0.968638 1.419433 1.472795
5.108173 1.874952 0.314987
0.315313 2.467030 2.556037
3.306086 1.847042 4.069097
3.602187 2.091162 2.609879
3.122677 1.284992 0.622566
2.302397 0.515167 0.119958
0.250061 1.981651 3.966226
2.601833 0.654243 1.053975
3.351984 2.363939 1.090998
5.173212 2.117542 0.537787
3.281806 1.501781 1.376386
5.004138 0.794812 0.289585
4.574159 0.467097 4.032159
5.129696 2.118285 1.209886
3.994718 0.941433 0.555114
6.255832 2.797378 3.854473
0.395150 1.007516 2.847914
3.438420 2.005508 3.857165
2.703281 0.964205 0.967960
2.433267 1.870141 5.914370
0.780457 1.635688 3.950301
2.126703 0.769492 4.222903
2.529704 1.005651 5.502871
5.451751 2.559815 6.122381
4.563763 2.039743 0.331310
0.669777 1.048119 2.161111
6.275283 1.789919 1.655566
2.318972 1.079260 4.084610
4.328017 0.845907 6.259269
5.296523 0.236085 2.609031
0.340913 3.066341 0.180581
0.934392 1.563265 2.491266
4.283043 1.127538 0.429378
5.678918 0.823173 2.697159
1.720045 1.108607 0.889706
5.646285 0.475782 2.551942
2.978685 1.212136 1.773948
3.388221 0.523197 1.904598
1.692387 0.902640 5.046512
4.507671 1.050267 2.775324
6.172463 1.542330 1.055943
3.280403 0.807816 0.632291
1.724604 1.258339 3.893022
2.922138 0.572123 2.745627
6.038515 1.767588 4.811652
3.970608 2.003915 0.613471
5.483952 2.365166 3.913215
2.697546 0.389716 4.221667
0.483789 1.826847 6.114039
3.454159 0.886600 0.680644
1.300399 2.053920 5.130228
2.931525 1.720796 2.145503
1.040319 1.869738 0.462731
3.374544 0.599244 1.105395
3.896547 1.813348 2.048119
4.684171 0.952915 5.254542
2.282265 1.963452 0.697220
4.016794 1.950843 1.769904
3.494483 1.675470 3.688027
5.926116 2.479125 4.488400
3.810452 0.856221 1.611115
1.033168 2.259386 1.136009
3.715379 1.231911 5.827406
3.477027 2.400661 4.036198
4.318316 1.574866 5.203155
4.628505 1.346254 1.435211
3.938659 2.602021 1.371178
1.811640 0.598121 1.898274
4.593462 0.838911 5.153769
2.054458 2.100252 6.098577
2.845873 1.886042 3.228152
5.326506 1.434510 6.012595
0.852148 0.844611 1.374935
3.475979 1.269021 2.441474
3.538975 1.057239 0.924263
0.762326 0.880044 1.864642
2.714256 1.950854 1.012197
6.241015 1.317385 0.158924
1.650410 0.792806 0.607878
0.591059 1.405131 2.897070
2.523001 1.318694 1.617009
1.825475 1.528882 2.438708
1.059234 2.046242 2.064970
2.989338 1.131808 1.785062
2.929610 3.094389 1.208350
1.685815 3.101248 5.891327
4.132661 0.307481 0.429092
4.756686 1.657708 4.257003
3.284126 2.505101 1.507369
2.971332 2.786882 3.428353
5.504277 1.482323 2.430603
5.126803 1.400333 2.159194
2.969517 0.817037 0.753025
2.570705 1.407482 3.567948
1.944543 2.783365 5.928238
6.072289 1.656429 3.353808
4.050275 2.278078 3.524418
2.195968 1.964792 3.541358
